000,1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860
001,1.3.6.1.4.1.14519.5.2.1.6279.6001.100332161840553388986847034053
002,1.3.6.1.4.1.14519.5.2.1.6279.6001.100398138793540579077826395208
003,1.3.6.1.4.1.14519.5.2.1.6279.6001.100530488926682752765845212286
004,1.3.6.1.4.1.14519.5.2.1.6279.6001.100620385482151095585000946543
005,1.3.6.1.4.1.14519.5.2.1.6279.6001.100621383016233746780170740405
006,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866
007,1.3.6.1.4.1.14519.5.2.1.6279.6001.100953483028192176989979435275
008,1.3.6.1.4.1.14519.5.2.1.6279.6001.101228986346984399347858840086
009,1.3.6.1.4.1.14519.5.2.1.6279.6001.102133688497886810253331438797
010,1.3.6.1.4.1.14519.5.2.1.6279.6001.102681962408431413578140925249
011,1.3.6.1.4.1.14519.5.2.1.6279.6001.103115201714075993579787468219
012,1.3.6.1.4.1.14519.5.2.1.6279.6001.104562737760173137525888934217
013,1.3.6.1.4.1.14519.5.2.1.6279.6001.104780906131535625872840889059
014,1.3.6.1.4.1.14519.5.2.1.6279.6001.105495028985881418176186711228
015,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260
016,1.3.6.1.4.1.14519.5.2.1.6279.6001.106164978370116976238911317774
017,1.3.6.1.4.1.14519.5.2.1.6279.6001.106379658920626694402549886949
018,1.3.6.1.4.1.14519.5.2.1.6279.6001.106419850406056634877579573537
019,1.3.6.1.4.1.14519.5.2.1.6279.6001.106630482085576298661469304872
020,1.3.6.1.4.1.14519.5.2.1.6279.6001.106719103982792863757268101375
021,1.3.6.1.4.1.14519.5.2.1.6279.6001.107109359065300889765026303943
022,1.3.6.1.4.1.14519.5.2.1.6279.6001.107351566259572521472765997306
023,1.3.6.1.4.1.14519.5.2.1.6279.6001.108193664222196923321844991231
024,1.3.6.1.4.1.14519.5.2.1.6279.6001.108197895896446896160048741492
025,1.3.6.1.4.1.14519.5.2.1.6279.6001.108231420525711026834210228428
026,1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059
027,1.3.6.1.4.1.14519.5.2.1.6279.6001.109882169963817627559804568094
028,1.3.6.1.4.1.14519.5.2.1.6279.6001.110678335949765929063942738609
029,1.3.6.1.4.1.14519.5.2.1.6279.6001.111017101339429664883879536171
030,1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987
031,1.3.6.1.4.1.14519.5.2.1.6279.6001.111258527162678142285870245028
032,1.3.6.1.4.1.14519.5.2.1.6279.6001.111496024928645603833332252962
033,1.3.6.1.4.1.14519.5.2.1.6279.6001.111780708132595903430640048766
034,1.3.6.1.4.1.14519.5.2.1.6279.6001.112740418331256326754121315800
035,1.3.6.1.4.1.14519.5.2.1.6279.6001.112767175295249119452142211437
036,1.3.6.1.4.1.14519.5.2.1.6279.6001.113586291551175790743673929831
037,1.3.6.1.4.1.14519.5.2.1.6279.6001.113679818447732724990336702075
038,1.3.6.1.4.1.14519.5.2.1.6279.6001.113697708991260454310623082679
039,1.3.6.1.4.1.14519.5.2.1.6279.6001.114195693932194925962391697338
040,1.3.6.1.4.1.14519.5.2.1.6279.6001.114218724025049818743426522343
041,1.3.6.1.4.1.14519.5.2.1.6279.6001.114249388265341701207347458535
042,1.3.6.1.4.1.14519.5.2.1.6279.6001.114914167428485563471327801935
043,1.3.6.1.4.1.14519.5.2.1.6279.6001.115386642382564804180764325545
044,1.3.6.1.4.1.14519.5.2.1.6279.6001.116097642684124305074876564522
045,1.3.6.1.4.1.14519.5.2.1.6279.6001.116492508532884962903000261147
046,1.3.6.1.4.1.14519.5.2.1.6279.6001.116703382344406837243058680403
047,1.3.6.1.4.1.14519.5.2.1.6279.6001.117040183261056772902616195387
048,1.3.6.1.4.1.14519.5.2.1.6279.6001.117383608379722740629083782428
049,1.3.6.1.4.1.14519.5.2.1.6279.6001.118140393257625250121502185026
050,1.3.6.1.4.1.14519.5.2.1.6279.6001.119209873306155771318545953948
051,1.3.6.1.4.1.14519.5.2.1.6279.6001.119304665257760307862874140576
052,1.3.6.1.4.1.14519.5.2.1.6279.6001.119515474430718803379832249911
053,1.3.6.1.4.1.14519.5.2.1.6279.6001.119806527488108718706404165837
054,1.3.6.1.4.1.14519.5.2.1.6279.6001.120196332569034738680965284519
055,1.3.6.1.4.1.14519.5.2.1.6279.6001.120842785645314664964010792308
056,1.3.6.1.4.1.14519.5.2.1.6279.6001.121108220866971173712229588402
057,1.3.6.1.4.1.14519.5.2.1.6279.6001.121391737347333465796214915391
058,1.3.6.1.4.1.14519.5.2.1.6279.6001.121805476976020513950614465787
059,1.3.6.1.4.1.14519.5.2.1.6279.6001.121824995088859376862458155637
060,1.3.6.1.4.1.14519.5.2.1.6279.6001.121993590721161347818774929286
061,1.3.6.1.4.1.14519.5.2.1.6279.6001.122621219961396951727742490470
062,1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720
063,1.3.6.1.4.1.14519.5.2.1.6279.6001.122914038048856168343065566972
064,1.3.6.1.4.1.14519.5.2.1.6279.6001.123654356399290048011621921476
065,1.3.6.1.4.1.14519.5.2.1.6279.6001.123697637451437522065941162930
066,1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565
067,1.3.6.1.4.1.14519.5.2.1.6279.6001.124656777236468248920498636247
068,1.3.6.1.4.1.14519.5.2.1.6279.6001.124663713663969377020085460568
069,1.3.6.1.4.1.14519.5.2.1.6279.6001.124822907934319930841506266464
070,1.3.6.1.4.1.14519.5.2.1.6279.6001.125067060506283419853742462394
071,1.3.6.1.4.1.14519.5.2.1.6279.6001.125124219978170516876304987559
072,1.3.6.1.4.1.14519.5.2.1.6279.6001.125356649712550043958727288500
073,1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514
074,1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354
075,1.3.6.1.4.1.14519.5.2.1.6279.6001.126631670596873065041988320084
076,1.3.6.1.4.1.14519.5.2.1.6279.6001.126704785377921920210612476953
077,1.3.6.1.4.1.14519.5.2.1.6279.6001.127965161564033605177803085629
078,1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912
079,1.3.6.1.4.1.14519.5.2.1.6279.6001.128059192202504367870633619224
080,1.3.6.1.4.1.14519.5.2.1.6279.6001.128881800399702510818644205032
081,1.3.6.1.4.1.14519.5.2.1.6279.6001.129007566048223160327836686225
082,1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950
083,1.3.6.1.4.1.14519.5.2.1.6279.6001.129567032250534530765928856531
084,1.3.6.1.4.1.14519.5.2.1.6279.6001.129650136453746261130135157590
085,1.3.6.1.4.1.14519.5.2.1.6279.6001.129982010889624423230394257528
086,1.3.6.1.4.1.14519.5.2.1.6279.6001.130036599816889919308975074972
087,1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843
088,1.3.6.1.4.1.14519.5.2.1.6279.6001.130765375502800983459674173881
089,1.3.6.1.4.1.14519.5.2.1.6279.6001.131150737314367975651717513386
090,1.3.6.1.4.1.14519.5.2.1.6279.6001.131939324905446238286154504249
091,1.3.6.1.4.1.14519.5.2.1.6279.6001.132817748896065918417924920957
092,1.3.6.1.4.1.14519.5.2.1.6279.6001.133132722052053001903031735878
093,1.3.6.1.4.1.14519.5.2.1.6279.6001.133378195429627807109985347209
